timestamp,timestamp_iso,lat,lon,datarate,jitter,ip_local,port_local,ip_remote,port_remote,measurement
2021-06-22 09:52:03.359229+02:00,,,,22200000.0,0.000419,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:52:04.359298+02:00,,,,23100000.0,0.0005470000000000001,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:52:05.359184+02:00,,,,21400000.0,0.00041099999999999996,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:52:06.359235+02:00,,,,22800000.0,0.000326,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:52:07.359300+02:00,,,,25100000.0,0.00037,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:52:08.359496+02:00,,,,22700000.0,0.0014010000000000001,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:52:09.359240+02:00,,,,19100000.0,0.0006760000000000001,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:52:10.359391+02:00,,,,23400000.0,0.0008100000000000001,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:52:11.359260+02:00,,,,25800000.0,0.000295,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:52:12.359650+02:00,,,,28300000.0,0.0005520000000000001,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:52:13.359442+02:00,,,,26600000.0,0.000513,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:52:14.359205+02:00,,,,25700000.0,0.000537,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:52:15.359228+02:00,,,,31300000.0,0.0010600000000000002,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:52:16.359403+02:00,,,,30400000.0,0.000326,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:52:17.359285+02:00,,,,28000000.0,0.00047,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:52:18.359205+02:00,,,,24900000.0,0.000695,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:52:19.359460+02:00,,,,20700000.0,0.000482,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:52:20.359316+02:00,,,,16800000.0,0.0013640000000000002,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:52:21.359261+02:00,,,,18500000.0,0.000428,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:52:22.359338+02:00,,,,18100000.0,0.000533,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:52:23.359232+02:00,,,,17800000.0,0.001348,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:52:24.359223+02:00,,,,15800000.0,0.000759,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:52:25.359324+02:00,,,,14900000.0,0.000453,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:52:26.359308+02:00,,,,14500000.0,0.0007019999999999999,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:52:27.359339+02:00,,,,20900000.0,0.00057,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:52:28.359291+02:00,,,,26200000.0,0.000389,10.175.117.136,47474,193.174.67.58,5204,0
2021-06-22 09:52:29.359462+02:00,,,,24300000.0,0.000261,10.175.117.136,47474,193.174.67.58,5204,0
